source_property,destination_property,destination_type
Carrier,uco-observable:carrier
ICCID,uco-observable:ICCID
IMEI,uco-observable:IMEI
IMSI,uco-observable:IMSI
MSISDN,uco-observable:MSISDN
SIMForm,uco-observable:SIMForm
SIMType,uco-observable:SIMType
accessAction
accessedAction
accessedTime,uco-observable:accessedTime,xsd:dateTime
accountIdentifier,uco-observable:accountIdentifier
accountIssuer,uco-observable:accountIssuer
accountLogin,uco-observable:accountLogin
accountType,uco-observable:accountType,uco-vocabulary:AccountTypeVocab
address,uco-observable:addressValue
application,uco-observable:application
applicationIdentifier,uco-observable:applicationIdentifier
authorizationType,uco-investigation:authorizationType
authorizationIdentifier,uco-investigation:authorizationIdentifier
authorizationAuthority
authorizationIssuedDate
biosVersion,uco-observable:biosVersion
birthdate,uco-identity:birthdate,xsd:dateTime
bitsPerPixel,uco-observable:bitsPerPixel
byteOrder,uco-observable:byteOrder
callType,uco-observable:callType
clockSetting,uco-observable:clockSetting
columnName,uco-observable:columnName
compressionMethod,uco-observable:compressionMethod
configurationSetting,uco-tool:configurationSettings
connectionState
contactName,uco-observable:contactName
content,uco-core:object
country,uco-location:country
createAction
createdAction
createdBy,uco-core:createdBy
creator,uco-tool:creator
cpuFamily,uco-observable:cpuFamily
createdTime,uco-observable:createdTime,xsd:dateTime
dataPayload,uco-observable:dataPayload
description,uco-core:description
destinationPort,uco-observable:destinationPort
displayName,uco-observable:displayName
display_name,uco-observable:displayName
dst,uco-observable:dst
duration,uco-observable:duration,xsd:long
encodingMethod,uco-observable:encodingMethod
encryptionMethod,uco-observable:encryptionMethod
encryptionMode,uco-observable:encryptionMode
endTime,uco-observable:endTime,xsd:dateTime
environment,uco-action:environment
exhibitNumber,uco-investigation:exhibitNumber
exifData,uco-observable:exifData
extension,uco-observable:extension
fileName,uco-observable:fileName
filePath,uco-observable:filePath
fileSystemType,uco-observable:fileSystemType
firstLoginTime,uco-observable:firstLoginTime,xsd:dateTime
focus,uco-investigation:focus
fragmentIndex,uco-observable:fragmentIndex
from,uco-observable:from
givenName,uco-identity:givenName
gpuFamily,uco-observable:gpuFamily
hash,uco-observable:hash
hashMethod,uco-types:hashMethod,uco-vocabulary:HashNameVocab
hashValue,uco-types:hashValue,xsd:hexBinary
identifier
instrument,uco-action:instrument
isActive,uco-observable:isActive
isDirectional,uco-core:isDirectional
isDirectory,uco-observable:isDirectory
itemName,uco-tool:itemName
itemValue,uco-tool:itemValue
iv,uco-observable:encryptionIV
keypadUnlockCode,uco-observable:keypadUnlockCode
kindOfRelationship,uco-core:kindOfRelationship
lastLoginTime,uco-observable:lastLoginTime,xsd:dateTime
latitude,uco-location:latitude,xsd:decimal
localeLanguage
locality,uco-location:locality
longitude,uco-location:longitude,xsd:decimal
magicNumber,uco-observable:magicNumber
manufacturer,uco-observable:manufacturer
messageText,uco-observable:messageText
messages
metadataChangedTime,uco-observable:metadataChangedTime,xsd:dateTime
mimeType,uco-observable:mimeType
model,uco-observable:model
modifiedTime,uco-observable:modifiedTime,xsd:dateTime
name,uco-core:name
numberOfLaunches,uco-observable:numberOfLaunches
operatingSystem,uco-observable:operatingSystem
ownerName
partIndex,uco-observable:partitionID
participant,uco-observable:participant
password,uco-observable:password
passwordLastChanged,uco-observable:passwordLastChanged,xsd:dateTime
path,uco-observable:path
performer,uco-action:performer
phoneActivationTime,uco-observable:phoneActivationTime,xsd:dateTime
phoneNumber,uco-observable:phoneNumber
pictureType,uco-observable:picturetype
pictureheight,uco-observable:pictureHeight
picturewidth,uco-observable:pictureWidth
postalCode,uco-location:postalCode
processorArchitecture,uco-observable:processorArchitecture
propertyBundle,uco-core:facets
protocols,uco-observable:protocols,uco-types:ControlledDictionary
rangeOffset,uco-observable:rangeOffset
rangeSize,uco-observable:rangeSize,xsd:long
region,uco-location:region
result,uco-action:result
rowCondition,uco-observable:rowCondition
sentTime,uco-observable:sentTime,xsd:dateTime
serialNumber,uco-observable:serialNumber
sizeInBytes,uco-observable:sizeInBytes,xsd:long
source,uco-core:source
sourcePort,uco-observable:sourcePort
src,uco-observable:src
startTime,uco-observable:startTime,xsd:dateTime
startTime,uco-observable:startTime,xsd:dateTime
storageCapacity,uco-observable:storageCapacityInBytes,xsd:long
street,uco-location:street
tableName,uco-observable:tableName
tag,uco-core:tag
target,uco-core:target
timezoneSetting
toolType,uco-tool:toolType
totalRam,uco-observable:totalRam,xsd:long
to,uco-observable:to
uniqueID
url,uco-observable:url
value,uco-observable:value
visibility,uco-observable:visibility,xsd:boolean
